producturl,productname,price,rating,review
https://amazon.com/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1663955770&sprefix=ba%2Caps%2C283&sr=8-15,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black  ,789.0,"47,250","6,240 "
https://amazon.com/Wildcraft-Music-Backpack-Blue-11954/dp/B07N2PDVX4/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1663955770&sprefix=ba%2Caps%2C283&sr=8-16,Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue)  ,1249.0,255,53 
https://amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1663955770&sprefix=ba%2Caps%2C283&sr=8-17,DEIN KLEIDER Men's Nylon Messenger Bag  ,276.0,"3,544",387 
https://amazon.com/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1663955770&sprefix=ba%2Caps%2C283&sr=8-18,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm  ",998.0,"5,563",729 
https://amazon.com/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1663955770&sprefix=ba%2Caps%2C283&sr=8-19,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment  ",699.0,"6,344",943 
https://amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1663955770&sprefix=ba%2Caps%2C283&sr=8-20,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover  ,99900.0,"1,052",153 
https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03407974AVXR9G9ECEQ&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1663955770%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26psc%3D1&qualifier=1663955770&id=5193162225902173&widgetName=sp_btf,"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)  ",1400.0,23,9 
https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0340953PR9KD95VMC6U&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1663955770%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26psc%3D1&qualifier=1663955770&id=5193162225902173&widgetName=sp_btf,"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)  ",1400.0,47,18 
https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjkzNzExODc4MzA1NTg0OjE2NjM5NTU4NDQ6c3BfYXRmOjIwMDY1MDI3MDgwOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1663955844%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1,"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ",1550.0,28,14 
https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjkzNzExODc4MzA1NTg0OjE2NjM5NTU4NDQ6c3BfYXRmOjIwMDc2NzUzNDE4OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAirCase-Anti-Gravity-Ergonomic-Technology-Protected%2Fdp%2FB0B87K8YHG%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1663955844%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1,"AirCase Anti-Gravity Backpack for Men & Women, Weight Reducing 15.6” Laptop Bag for Travel & Office, Ergonomic Technology for Posture & Muscle Support, Patent Protected, in-Built Shock Absorber, Grey  ",3999.0,4,4 
